Rank,College,Rating,Fees,Salary,Entrance Exam,State,Placement Percentage,Number of Companies Visited,Quality of Food,Hostel Fees,Safety Details
1,IIT Madras,4.5,?8.00 Lakh,?18.96 Lakh,JEE Advanced,Tamil Nadu,90%,150,Excellent,100000,Excellent
2,IIT Delhi,4.5,?8.00 Lakh,?20.50 Lakh,JEE Advanced,Delhi,92%,160,Excellent,100000,Excellent
3,IIT Bombay,4.6,?8.00 Lakh,?19.63 Lakh,JEE Advanced,Maharashtra,89%,140,Excellent,100000,Excellent
4,IIT Kanpur,4.6,?8.00 Lakh,?23.00 Lakh,JEE Advanced,Uttar Pradesh,88%,145,Excellent,100000,Excellent
5,IIT Roorkee,4.4,?8.00 Lakh,?17.00 Lakh,JEE Advanced,Uttarakhand,85%,130,Good,100000,Excellent
6,IIT Kharagpur,4.5,?8.00 Lakh,Not listed,JEE Advanced,West Bengal,87%,125,Good,100000,Excellent
7,IIT Guwahati,4.5,?8.00 Lakh,?21.60 Lakh,JEE Advanced,Assam,86%,135,Good,100000,Excellent
8,IIT Hyderabad,4.4,?8.00 Lakh,?21.00 Lakh,JEE Advanced,Telangana,84%,140,Good,100000,Excellent
9,NIT Trichy,4.4,?5.00 Lakh,?12.00 Lakh,JEE Main,Tamil Nadu,80%,120,Satisfactory,100000,Excellent
10,Jadavpur University,4.4,"? 20,840",Not listed,WBJEE,West Bengal,78%,110,Good,100000,Very Good
11,IIT Indore,4.2,?8.00 Lakh,?18.50 Lakh,JEE Advanced,Madhya Pradesh,81%,115,Good,100000,Excellent
12,IIT Gandhinagar,4.4,?8.00 Lakh,?9.00 Lakh,JEE Advanced,Gujarat,75%,100,Satisfactory,100000,Excellent
13,IIT Ropar,4.4,?8.00 Lakh,?20.00 Lakh,JEE Advanced,Punjab,80%,120,Good,100000,Excellent
14,IIT Patna,4.3,?8.00 Lakh,?20.00 Lakh,JEE Advanced,Bihar,77%,110,Good,100000,Excellent
15,IIIT Hyderabad,4.3,?16.00 Lakh,?30.18 Lakh,JEE Main,Telangana,82%,140,Excellent,100000,Excellent
16,Jadavpur University,4.4,"? 20,840",Not listed,WBJEE,West Bengal,78%,110,Good,100000,Very Good
17,"College of Engineering, Anna University",4.2,"? 48,000",Not listed,TNEA,Tamil Nadu,72%,120,Good,100000,Good
18,Visvesvaraya Technological University,3.8,?1.35 Lakh,Not listed,VTU Entrance,Karnataka,65%,110,Satisfactory,100000,Very Good
19,VIT Vellore,4.2,?7.80 Lakh,?8.00 Lakh,VITEEE,Tamil Nadu,70%,160,Very good,100000,Very Good
20,Thapar University,4.1,?12.92 Lakh,?10.00 Lakh,JEE Main,Punjab,74%,130,Good,100000,Very Good
21,"Manipal University, Jaipur",4.1,?16.40 Lakh,?7.00 Lakh,MET,Rajasthan,70%,120,Good,100000,Very Good
22,Chandigarh University,4.2,?10.90 Lakh,?8.00 Lakh,JEE Main,Punjab,75%,110,Good,100000,Good
23,Kalasalingam Academy of Research and Education,3.9,?7.40 Lakh,?5.50 Lakh,KARE Entrance,Tamil Nadu,65%,100,Satisfactory,90000,Very Good
24,MNIT Jaipur,4.2,?5.00 Lakh,?9.00 Lakh,JEE Main,Rajasthan,80%,120,Good,90000,Very Good
25,NIT Silchar,4.2,?5.00 Lakh,?11.00 Lakh,JEE Main,Assam,77%,115,Good,90000,Very Good
26,VNIT Nagpur,4.1,?5.00 Lakh,?11.92 Lakh,JEE Main,Maharashtra,75%,120,Good,90000,Good
27,IIT Patna,4.3,?8.00 Lakh,?20.00 Lakh,JEE Advanced,Bihar,77%,110,Good,90000,Good
28,NIT Durgapur,4,?5.00 Lakh,?7.13 Lakh,JEE Main,West Bengal,70%,110,Satisfactory,90000,Very Good
29,KL University,4.1,?7.40 Lakh,?6.60 Lakh,KLUEE,Andhra Pradesh,65%,100,Satisfactory,90000,Very Good
30,SSN College of Engineering,4.5,?2.00 Lakh,?7.60 Lakh,JEE Main,Tamil Nadu,75%,100,Good,90000,Very Good
31,NIT Jalandhar,3.9,?5.00 Lakh,?8.91 Lakh,JEE Main,Punjab,68%,100,Satisfactory,90000,Good
32,IIT Bhubaneswar,4.2,?8.00 Lakh,?15.00 Lakh,JEE Advanced,Odisha,75%,110,Good,90000,Good
33,IIST,4.1,?6.25 Lakh,?11.04 Lakh,JEE Advanced,Kerala,72%,105,Good,90000,Very Good
34,MNNIT Allahabad,4.1,?6.92 Lakh,?12.00 Lakh,JEE Main,Uttar Pradesh,75%,110,Good,90000,Good
35,Lovely Professional University,4.3,?11.20 Lakh,?7.07 Lakh,LPUNEST,Punjab,70%,100,Good,90000,Excellent
36,NIT Goa,3.7,?5.00 Lakh,?8.00 Lakh,JEE Main,Goa,60%,90,Satisfactory,90000,Good
37,NIT Agartala,4.1,?5.00 Lakh,?7.00 Lakh,JEE Main,Tripura,70%,110,Good,90000,Very Good
38,Chitkara University,4.5,?49.02 Lakh,?8.50 Lakh,JEE Main,Punjab,65%,90,Satisfactory,90000,Very Good
39,"Amity University, Gurugram",4.3,?12.00 Lakh,?6.50 Lakh,Amity Entrance,Haryana,70%,110,Good,90000,Good
40,SRM University,4,?10.00 Lakh,?8.00 Lakh,SRMJEEE,Tamil Nadu,68%,100,Good,90000,Good
41,"Vignan's Foundation for Science, Technology and Research",4.1,?14.80 Lakh,?7.25 Lakh,VITEEE,Andhra Pradesh,66%,100,Good,90000,Very Good
42,Rajalakshmi Engineering College,4.4,?2.00 Lakh,?4.71 Lakh,TNEA,Tamil Nadu,65%,95,Satisfactory,90000,Good
43,Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology,4,?10.00 Lakh,?3.83 Lakh,VTUEE,Tamil Nadu,60%,90,Satisfactory,90000,Good
44,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,3.9,?7.90 Lakh,?24.01 Lakh,ABV-IIITM,Madhya Pradesh,68%,110,Good,90000,Satisfied
45,IIIT Allahabad,4.4,?6.48 Lakh,?30.00 Lakh,JEE Main,Uttar Pradesh,75%,130,Good,60000,Very Good
46,IIIT Bangalore,4.6,?26.32 Lakh,?27.30 Lakh,JEE Main,Karnataka,85%,150,Excellent,60000,Very Good
47,IIIT Delhi,4.5,?19.55 Lakh,?18.50 Lakh,JEE Main,Delhi,82%,140,Excellent,60000,Good
48,IIT Dharwad,4,?8.00 Lakh,?14.85 Lakh,JEE Advanced,Karnataka,75%,120,Good,60000,Good
49,Andhra University College of Engineering,4,?8.00 Lakh,?6.50 Lakh,EAMCET,Andhra Pradesh,68%,100,Satisfactory,60000,Very Good
50,NIT Manipur,3.3,?5.00 Lakh,?8.75 Lakh,JEE Main,Manipur,62%,90,Satisfactory,60000,Good
51,R.V. College of Engineering,4.2,?10.46 Lakh,?10.00 Lakh,CET,Karnataka,70%,120,Good,60000,Very Good
52,IIITDM Jabalpur,4.2,?5.74 Lakh,?15.90 Lakh,JEE Main,Madhya Pradesh,72%,100,Good,60000,Excellent
53,SR Engineering College,3.9,?4.37 Lakh,?4.80 Lakh,EAMCET,Andhra Pradesh,62%,90,Satisfactory,60000,Excellent
54,"Amity University, Gurugram",4.3,?12.00 Lakh,?6.50 Lakh,Amity Entrance,Haryana,70%,110,Good,60000,Very Good
55,Lovely Professional University,4.3,?11.20 Lakh,?7.07 Lakh,LPUNEST,Punjab,70%,100,Good,60000,Very Good
56,Graphic Era Deemed to be University,4.1,?14.80 Lakh,?7.25 Lakh,JEE Main,Uttarakhand,65%,100,Good,60000,Very Good
57,PSGCT Coimbatore,4.4,?3.00 Lakh,?4.71 Lakh,TNEA,Tamil Nadu,70%,110,Good,60000,Very Good
58,GRIET Hyderabad,4,?6.00 Lakh,?5.75 Lakh,EAMCET,Telangana,62%,100,Satisfactory,60000,Very Good
59,Maturi Venkata Subba Rao Engineering College,3.8,?5.00 Lakh,?5.50 Lakh,EAMCET,Andhra Pradesh,60%,90,Satisfactory,60000,Very Good
60,RNSIT Bangalore,4.1,?7.25 Lakh,?6.90 Lakh,CET,Karnataka,68%,100,Good,60000,Good
61,IARE Hyderabad,4.1,?4.50 Lakh,?5.10 Lakh,EAMCET,Telangana,62%,90,Satisfactory,60000,Good
62,HITS Hyderabad,4,?5.50 Lakh,?5.60 Lakh,EAMCET,Telangana,60%,90,Satisfactory,60000,Good
63,Shadan College of Engineering,4.2,?5.00 Lakh,?4.80 Lakh,EAMCET,Telangana,64%,95,Satisfactory,60000,Good
64,MVSR Engineering College,4.2,?7.00 Lakh,?6.50 Lakh,EAMCET,Telangana,68%,100,Good,60000,Good
65,CVR College of Engineering,4.1,?5.00 Lakh,?5.00 Lakh,EAMCET,Telangana,62%,90,Satisfactory,60000,Good
66,VNR VJIET Hyderabad,4,?4.80 Lakh,?4.70 Lakh,EAMCET,Telangana,60%,90,Satisfactory,60000,Very Good
67,Anurag University,4.1,?4.80 Lakh,?5.10 Lakh,EAMCET,Telangana,62%,95,Satisfactory,55000,Good
68,RVR & JC College,4,?4.50 Lakh,?5.00 Lakh,EAMCET,Andhra Pradesh,60%,90,Satisfactory,55000,Very Good
69,JNTU Hyderabad,3.9,?7.00 Lakh,?4.80 Lakh,EAMCET,Telangana,58%,85,Satisfactory,55000,Very Good
70,DSI Bangalore,4,?5.00 Lakh,?5.00 Lakh,CET,Karnataka,62%,90,Satisfactory,55000,Very Good
71,SDM College of Engineering,3.8,?4.50 Lakh,?4.80 Lakh,CET,Karnataka,60%,85,Satisfactory,55000,Very Good
72,BITS Pilani Hyderabad Campus,4.7,?24.00 Lakh,?27.00 Lakh,BITSAT,Telangana,80%,150,Excellent,"2,00,000",Very Good
73,HBTU Kanpur,4,?5.00 Lakh,?6.50 Lakh,JEE Main,Uttar Pradesh,62%,100,Satisfactory,"1,50,000",Good
74,"ITM University, Gwalior",4.2,?5.80 Lakh,?5.90 Lakh,ITM Entrance,Madhya Pradesh,66%,95,Good,"1,50,000",Good
75,CMR University,4,?7.00 Lakh,?5.50 Lakh,CMR Entrance,Karnataka,60%,90,Satisfactory,"1,50,000",Good
76,KLU Guntur,4.1,?7.50 Lakh,?5.60 Lakh,KLU Entrance,Andhra Pradesh,62%,95,Good,"1,50,000",Good
77,JSS Academy of Technical Education,4.2,?5.50 Lakh,?4.80 Lakh,JSS Entrance,Karnataka,65%,100,Good,"1,50,000",Good
78,NIT Srinagar,3.9,?5.00 Lakh,?7.00 Lakh,JEE Main,Jammu & Kashmir,60%,90,Satisfactory,"1,50,000",Good
79,VIT AP University,4.1,?7.80 Lakh,?6.50 Lakh,VITEEE,Andhra Pradesh,64%,100,Good,"1,50,000",Very Good
80,ICFAI Foundation for Higher Education,4,?8.00 Lakh,?5.00 Lakh,ICFAI Entrance,Telangana,60%,90,Satisfactory,"1,50,000",Very Good
81,Manipal Institute of Technology,4.3,?17.00 Lakh,?8.50 Lakh,MET,Karnataka,68%,110,Good,"2,80,000",Excellent
82,APEEJAY Stya University,4.2,?12.00 Lakh,?5.00 Lakh,APEEJAY Entrance,Haryana,62%,95,Good,"2,80,000",Good
83,Sharda University,4,?15.00 Lakh,?6.50 Lakh,SUAT,Uttar Pradesh,60%,90,Satisfactory,"2,80,000",Good
84,BML Munjal University,4.1,?12.00 Lakh,?5.50 Lakh,BMU Entrance,Haryana,62%,95,Good,"2,80,000",Good
85,GITAM Hyderabad,4,?7.00 Lakh,?5.50 Lakh,GAT,Telangana,60%,90,Satisfactory,"2,80,000",Very Good
86,Shadan College of Engineering,4.2,?5.00 Lakh,?4.80 Lakh,EAMCET,Telangana,64%,95,Satisfactory,"2,80,000",Very Good
87,Kalinga Institute of Industrial Technology,4.1,?8.00 Lakh,?7.00 Lakh,KIIT Entrance,Odisha,65%,100,Good,"2,80,000",Very Good
88,Sri Venkateswara College of Engineering,4,?4.00 Lakh,?4.50 Lakh,EAMCET,Andhra Pradesh,60%,85,Satisfactory,"1,50,000",Good
89,Vidyavardhaka College of Engineering,4.1,?6.50 Lakh,?6.00 Lakh,CET,Karnataka,65%,90,Good,"1,50,000",Satisfied
90,KJ Somaiya College of Engineering,4.4,?8.00 Lakh,?5.80 Lakh,JEE Main,Maharashtra,72%,100,Good,"1,50,000",Good
