Question,College,Intent
What is the fee of IIT Madras?,IIT Madras,Fees
How much does IIT Madras cost?,IIT Madras,Fees
What are the fees for IIT Madras?,IIT Madras,Fees
Tell me the fee of IIT Madras,IIT Madras,Fees
How much is the college fee at IIT Madras?,IIT Madras,Fees
What is the tuition fee of IIT Madras?,IIT Madras,Fees
What is the rating of IIT Madras?,IIT Madras,Rating
How is IIT Madras rated?,IIT Madras,Rating
What rating does IIT Madras have?,IIT Madras,Rating
How good is IIT Madras?,IIT Madras,Rating
What is the salary offered at IIT Madras?,IIT Madras,Salary
What is the average salary at IIT Madras?,IIT Madras,Salary
How much salary can students get from IIT Madras?,IIT Madras,Salary
What is the placement salary at IIT Madras?,IIT Madras,Salary
Which entrance exam is required for IIT Madras?,IIT Madras,Entrance Exam
What entrance exam does IIT Madras accept?,IIT Madras,Entrance Exam
How can I get admission to IIT Madras?,IIT Madras,Entrance Exam
What exam is needed to join IIT Madras?,IIT Madras,Entrance Exam
Which state is IIT Madras located in?,IIT Madras,State
Where is IIT Madras located?,IIT Madras,State
In which state is IIT Madras?,IIT Madras,State
What is the placement percentage of IIT Madras?,IIT Madras,Placement Percentage
How are the placements at IIT Madras?,IIT Madras,Placement Percentage
What percentage of students get placed at IIT Madras?,IIT Madras,Placement Percentage
How good is the placement record of IIT Madras?,IIT Madras,Placement Percentage
How many companies visit IIT Madras?,IIT Madras,Number of Companies Visited
How many companies come for placements at IIT Madras?,IIT Madras,Number of Companies Visited
How many companies visit the campus of IIT Madras?,IIT Madras,Number of Companies Visited
What is the number of companies visiting IIT Madras?,IIT Madras,Number of Companies Visited
How is the food at IIT Madras?,IIT Madras,Quality of Food
Is the food good at IIT Madras?,IIT Madras,Quality of Food
What is the quality of food at IIT Madras?,IIT Madras,Quality of Food
How is the hostel food at IIT Madras?,IIT Madras,Quality of Food
What are the hostel fees at IIT Madras?,IIT Madras,Hostel Fees
How much does the hostel cost at IIT Madras?,IIT Madras,Hostel Fees
What is the hostel fee in IIT Madras?,IIT Madras,Hostel Fees
How much do I need to pay for the hostel at IIT Madras?,IIT Madras,Hostel Fees
Is IIT Madras safe for students?,IIT Madras,Safety Details
How safe is IIT Madras?,IIT Madras,Safety Details
What are the safety facilities at IIT Madras?,IIT Madras,Safety Details
Does IIT Madras have good safety measures?,IIT Madras,Safety Details
What is the fee of IIT Delhi?,IIT Delhi,Fees
How much does IIT Delhi cost?,IIT Delhi,Fees
What is the rating of IIT Delhi?,IIT Delhi,Rating
How is IIT Delhi rated?,IIT Delhi,Rating
What is the average salary at IIT Delhi?,IIT Delhi,Salary
What is the placement percentage of IIT Delhi?,IIT Delhi,Placement Percentage
How many companies visit IIT Delhi?,IIT Delhi,Number of Companies Visited
How is the food at IIT Delhi?,IIT Delhi,Quality of Food
What are the hostel fees at IIT Delhi?,IIT Delhi,Hostel Fees
Is IIT Delhi safe for students?,IIT Delhi,Safety Details
Which entrance exam is required for IIT Delhi?,IIT Delhi,Entrance Exam
Which state is IIT Delhi located in?,IIT Delhi,State
What is the fee of IIT Bombay?,IIT Bombay,Fees
What is the rating of IIT Bombay?,IIT Bombay,Rating
What is the average salary at IIT Bombay?,IIT Bombay,Salary
What is the placement percentage of IIT Bombay?,IIT Bombay,Placement Percentage
How many companies visit IIT Bombay?,IIT Bombay,Number of Companies Visited
